50
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
7	15	14
-1	0	0
8	13	3
-1	0	0
-1	0	0
-1	0	0
11	4	12
-1	0	0
-1	0	0
-1	0	0
14	17	22
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
19	12	8
-1	0	0
20	1	13
20	6	1
20	20	1
-1	0	0
21	1	20
-1	0	0
-1	0	0
-1	0	0
-1	0	0
25	1	19
25	15	7
-1	0	0
26	1	16
-1	0	0
-1	0	0
-1	0	0
29	1	17
-1	0	0
-1	0	0
-1	0	0
-1	0	0
33	15	6
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
39	22	1
-1	0	0
40	1	5
-1	0	0
-1	0	0
-1	0	0
43	22	6
-1	0	0
44	13	1
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
55	5	16
-1	0	0
-1	0	0
-1	0	0
-1	0	0
59	19	1
59	22	21
-1	0	0
60	6	1
-1	0	0
-1	0	0
-1	0	0
63	1	22
-1	0	0
64	1	6
-1	0	0
65	3	22
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
70	5	16
-1	0	0
71	14	5
71	15	21
-1	0	0
72	4	13
-1	0	0
73	21	1
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
78	22	14
-1	0	0
79	8	17
-1	0	0
-1	0	0
81	1	2
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
88	1	19
-1	0	0
-1	0	0
-1	0	0
91	11	6
-1	0	0
-1	0	0
93	1	3
-1	0	0
94	1	19
-1	0	0
-1	0	0
-1	0	0
-1	0	0
-1	0	0
99	1	10
99	12	1
-1	0	0
-1	0	0
101	20	1
-1	0	0
-1	0	0
-1	0	0
104	11	18
104	18	4
-1	0	0
-1	0	0
-1	0	0
-1	0	0
108	6	19
-1	0	0
-1	0	0
-1	0	0
111	10	17
-1	0	0
-1	0	0
113	1	8
113	6	10
-1	0	0
114	1	5
-1	0	0
115	21	1
-1	0	0
-1	0	0
117	16	17
-1	0	0
118	22	17
-1	0	0
-1	0	0
-1	0	0
